_dataobs_,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,Attr41,Attr42,Attr43,Attr44,Attr45,Attr46,Attr47,Attr48,Attr49,Attr50,Attr51,Attr52,Attr53,Attr54,Attr55,Attr56,Attr57,Attr58,Attr59,Attr60,Attr61,Attr62,Attr63,Attr64,class,F_class,_WARN_,Q_class0,Q_class1,R_class0,R_class1,U_class,b_class,EM_SEGMENT,EM_EVENTPROBABILITY,EM_PROBABILITY,EM_CLASSIFICATION,EM_CLASSTARGET
79,-0.248,0.06503,-0.67618,-0.20402,0.00649,-0.04215,-0.47198,-0.08442,-0.90016,-0.24393,-0.01436,-0.03717,-0.06588,-0.68956,-0.46478,-0.03874,-0.04687,0.01363,-0.01373,-0.98354,-0.04422,-0.08079,-0.10384,-0.68827,-0.01003,-0.02231,0.86576,-0.00888,-0.05504,-0.00355,-0.51138,-0.72811,-1.08605,-0.47871,-0.03112,-0.09828,-0.08709,-0.14596,-0.0076,-0.06758,0.00204,-0.00004,0.00301,-0.17696,-0.01497,-0.66158,-0.04234,-0.29402,1.27302,-0.00288,-0.02542,-0.02202,-0.18058,0.00793,-0.02844,-0.00809,-0.02107,-0.04416,-0.29335,0.00062,-0.53532,-0.03374,0,0,,0.9994378454,0.0005621546,0.0013615226,-0.001361523,0,11,11,0.0013615226,0.9986384774,0,0
85,0.0825,-0.05152,0.96616,0.10633,0.00781,0.03129,-0.41142,0.03928,0.2652,0.10037,-0.01108,0.02567,-0.01635,0.10581,0.05868,0.02314,0.03119,-0.05681,-0.01705,-0.62651,0.02941,0.02514,0.20347,0.07146,-0.01,-0.01028,1.24374,-0.02494,0.02768,-0.02653,0.46776,-0.71499,-0.69242,0.36971,-0.03347,0.01991,-0.03268,0.22807,-0.00832,-0.02513,-0.02219,-0.0143,0.00613,0.22344,-0.03788,-0.4158,-0.0003,0.31208,-0.56634,-0.02591,-0.00361,-0.01141,0.82622,0.00896,0.01631,-0.00912,-0.0195,-0.02556,-0.09295,-0.01789,0.34179,-0.02148,0,0,,0.9998878926,0.0001121074,0.0009315858,-0.000931586,0,13,13,0.0009315858,0.9990684142,0,0
96,-0.03059,0.0514,-0.99169,-0.25276,0.00641,-0.05575,-0.06735,-0.05398,0.04194,-0.11608,-0.01217,0.00136,0.04487,-0.45325,-0.43162,-0.00079,0.01485,-0.02019,-0.01496,0.04108,0.01656,0.22131,-0.12877,-0.44335,-0.0099,-0.02284,-0.33729,-0.01253,0.028,-0.01608,-0.31398,-0.03754,-0.56186,-0.32347,-0.03462,-0.02205,-0.0289,-0.13732,-0.00733,0.02092,-0.0213,-0.01924,0.00418,-0.26567,-0.02283,0.28898,0.05158,-0.68486,0.0124,-0.01557,-0.03315,-0.02283,-0.15255,0.01041,0.01021,-0.01002,-0.01196,-0.04134,0.34944,-0.01144,-0.30376,-0.04148,1,1,,0.0567593513,0.9432406487,-0.424078178,0.4240781778,1,1,1,0.5759218222,0.5759218222,1,1
97,0.06293,0.08618,-0.37082,-0.18365,0.00719,-0.01605,2.17477,-0.09804,0.12457,-0.10859,-0.01225,0.01611,0.00689,-0.35351,-0.50924,0.01372,0.01208,-0.04507,-0.01516,-0.40317,0.01587,0.01355,-0.14994,-0.32483,-0.00999,-0.01865,0.58552,-0.02196,0.02122,-0.02115,-0.11752,0.94305,-0.44177,1.81875,0.03451,-0.11766,-0.0182,-0.13983,-0.00562,-0.01395,-0.01975,-0.01361,0.00448,-0.14686,-0.03304,-0.1075,0.01799,-0.18209,1.66615,-0.02052,-0.01028,-0.01732,-0.09178,0.00982,0.03492,-0.00991,-0.02325,-0.03502,-0.11696,-0.01444,-0.13583,0.06597,0,0,,0.9986692286,0.0013307714,0.0173026303,-0.01730263,0,3,3,0.0173026303,0.9826973697,0,0
103,0.30311,-0.02848,-0.57982,-0.20069,0.00707,0.08947,-0.30452,0.04494,0.99783,0.21729,-0.00904,0.06518,-0.01905,0.36726,-0.11187,0.06204,0.08642,-0.04203,-0.01046,0.42314,0.08166,0.09225,0.21752,0.34926,-0.00994,-0.02135,-0.04199,-0.02088,0.0862,-0.01982,-0.18538,-0.54931,0.46484,0.05194,-0.03392,0.00996,0.04983,-0.10373,-0.00742,0.03922,-0.02156,-0.01601,0.00747,-0.17233,-0.03127,0.59289,0.0679,-0.37902,-0.08646,-0.01919,-0.02104,-0.02015,-0.13191,0.01046,0.03399,-0.01062,-0.02103,-0.03633,-0.0123,-0.01395,-0.1715,-0.03793,0,0,,0.9998271409,0.0001728591,0.0004760496,-0.00047605,0,17,17,0.0004760496,0.9995239504,0,0
104,-0.30988,0.07874,-0.69129,-0.20563,0.00536,-0.01605,-0.39276,-0.08861,-1.03735,-0.29051,-0.01571,-0.05248,-0.05165,-0.77226,-0.49445,-0.05381,-0.08361,0.10016,-0.01669,-1.09047,-0.07231,-0.09265,-0.19171,-0.74263,-0.01021,-0.02231,0.31459,-0.00478,-0.08147,0.00653,-0.56142,-0.23452,-0.94901,-0.63438,-0.03371,-0.09416,-0.08075,-0.14147,-0.00759,-0.08732,0.00481,-0.011,0.00317,-0.2491,0.02101,-0.78259,-0.06651,-0.36533,1.14918,0.00424,-0.02801,-0.0224,-0.1521,0.01064,-0.04203,-0.00939,-0.0192,-0.04637,-0.18218,0.00302,-0.55507,-0.03741,1,1,,0.109583772,0.890416228,-0.631005042,0.6310050416,0,1,1,0.3689949584,0.6310050416,0,1
106,-0.07773,-0.0792,-0.34418,-0.14368,0.00742,-0.00901,-0.40122,0.07947,-0.34117,-0.14168,-0.01172,-0.00703,-0.00143,-0.29001,0.37437,-0.00906,0.00436,-0.05028,-0.01566,-0.34084,0.0057,-0.03324,0.3033,-0.28163,-0.00998,-0.0205,0.10374,-0.02086,-0.00075,-0.02295,0.00509,-0.6601,-0.37746,-0.62846,-0.03427,0.04337,-0.00972,-0.05118,-0.00737,-0.00722,-0.02175,-0.01489,0.00399,-0.08877,-0.03546,-0.19518,0.00451,-0.37691,-0.83363,-0.02233,-0.02178,-0.02026,-0.10764,0.00912,0.00277,-0.00928,-0.02063,-0.03199,-0.06906,-0.01533,-0.05764,-0.04442,0,0,,0.9999351219,0.0000648781,0.0003708299,-0.00037083,0,18,18,0.0003708299,0.9996291701,0,0
110,0.17951,-0.12583,2.35466,0.85337,0.0093,0.10941,-0.25003,0.16467,0.66966,0.62011,-0.00919,0.04748,-0.02324,1.88883,1.74693,0.04462,0.07244,-0.02451,-0.01571,0.78159,0.062,0.14813,0.51497,1.62995,-0.0099,0.04237,-0.18166,-0.0299,0.07138,-0.02698,0.56967,-0.12278,0.86003,-0.17466,-0.00936,0.07596,0.08915,0.44006,-0.00745,0.0699,-0.00596,-0.00236,0.00558,0.94822,-0.02322,0.76185,0.08636,3.66878,-1.01658,-0.02637,0.1527,0.04334,0.07209,0.01111,0.0164,-0.01127,-0.02329,-0.0407,-0.27976,-0.01885,0.64562,0.01228,0,0,,0.999708257,0.000291743,0.0004909595,-0.000490959,0,17,17,0.0004909595,0.9995090405,0,0
114,0.49783,-0.09883,0.05864,-0.00852,0.00759,0.1399,-0.31053,0.07279,1.48581,1.04647,-0.00997,0.09149,-0.02361,2.31751,0.7414,0.08795,0.05432,-0.06694,-0.0145,1.54029,0.05819,0.15101,0.28671,2.52581,-0.00993,-0.01886,-0.32134,-0.02699,0.05219,-0.02995,2.13112,-0.09958,1.69651,1.61531,-0.0337,0.02771,0.05672,0.03938,-0.00746,0.0446,-0.02892,-0.01978,0.01592,0.07111,-0.04121,1.1953,0.06246,0.0504,-0.93367,-0.02934,-0.01975,-0.01989,-0.09472,0.01039,0.0447,-0.01055,-0.02153,0.00916,0.48475,-0.0206,2.09627,-0.02485,0,0,,0.9997405988,0.0002594012,0.0005017272,-0.000501727,0,17,17,0.0005017272,0.9994982728,0,0
115,0.04069,0.08752,-0.81003,-0.22975,0.00622,-0.00135,-0.295,-0.10565,0.01636,-0.06285,-0.00885,0.01225,-0.0056,-0.23845,-0.51182,0.00993,0.04403,-0.00739,-0.01453,0.11245,0.04788,-0.02926,-0.15659,-0.20204,-0.00993,-0.02224,0.23264,-0.00276,0.04128,-0.00868,-0.4567,-0.6313,0.1223,-0.65269,-0.03463,0.00051,0.05626,-0.12945,-0.00739,0.04424,-0.01384,-0.01342,0.00481,-0.22076,-0.01722,-0.01743,0.02662,-0.68295,0.00557,-0.00802,-0.03757,-0.02118,-0.16479,0.01058,0.03279,-0.01074,0.01378,-0.04274,-0.12272,-0.00677,-0.43624,-0.04393,0,0,,0.9997945997,0.0002054003,0.0009101303,-0.00091013,0,13,13,0.0009101303,0.9990898697,0,0
117,-0.10014,0.0637,-0.06294,-0.09776,0.00734,-0.01835,-0.40675,-0.08127,-0.44492,-0.19248,-0.01196,-0.01262,0.07844,-0.48086,-0.46168,-0.01456,-0.0085,0.00307,-0.01558,-0.45344,-0.00353,-0.05191,-0.09601,-0.45713,-0.01,-0.01919,0.6688,0.0013,-0.01438,-0.01564,-0.32922,-0.67933,-0.50161,-0.83995,-0.03461,0.0405,-0.02767,-0.11204,-0.00707,-0.02123,-0.00474,-0.00549,0.00368,-0.09465,-0.01646,-0.28897,-0.01585,-0.60455,-0.5939,-0.015,-0.03437,-0.01834,-0.00659,0.00903,-0.00038,-0.00919,0.00988,-0.04354,-0.25565,-0.00993,-0.35768,-0.0451,0,0,,0.9998340785,0.0001659215,0.0008581414,-0.000858141,0,13,13,0.0008581414,0.9991418586,0,0
118,-0.01458,0.01916,-0.47008,-0.18235,0.00741,-0.01605,-0.16044,-0.01315,-0.05683,-0.0767,-0.0098,0.00267,-0.01108,-0.12619,-0.33459,0.0005,0.01816,-0.06603,-0.01284,-0.06852,0.02197,-0.00427,-0.30152,-0.08223,-0.00984,-0.02093,0.04778,-0.01371,0.02079,-0.02181,-0.07736,0.05766,-0.26549,-0.41241,-0.03435,-0.00227,-0.0005,-0.14192,-0.00741,0.01447,-0.02004,-0.01055,0.0075,-0.08468,-0.04105,-0.32655,-0.00508,-0.63892,-0.54954,-0.02118,-0.02934,-0.02192,-0.12174,0.00949,0.01003,-0.00979,-0.01609,0.00231,-0.19071,-0.01471,-0.11396,-0.04223,0,0,,0.9965247545,0.0034752455,0.0026868863,-0.002686886,0,9,9,0.0026868863,0.9973131137,0,0
133,0.288,-0.02009,0.25124,-0.09994,0.00698,-0.01605,-0.14662,0.03657,1.10204,0.19413,-0.00755,0.06997,-0.0191,0.37344,-0.16118,0.06676,0.12025,0.02834,-0.0136,1.04408,0.10162,0.07525,0.1023,0.27152,-0.00548,-0.01575,-0.65532,-0.02054,0.12315,-0.01087,-0.42553,0.07227,1.15699,-0.3992,-0.03319,-0.00302,0.13807,-0.02208,-0.00744,0.10748,-0.01031,-0.01543,0.00523,-0.14531,0.00314,1.10269,0.13132,0.01488,0.10925,-0.01021,-0.00613,-0.01441,-0.10156,0.01216,0.03392,-0.0124,-0.02166,-0.0448,-0.04371,-0.00999,-0.35577,-0.03423,0,0,,0.9981459324,0.0018540676,0.00330624,-0.00330624,0,8,8,0.00330624,0.99669376,0,0
136,-0.04153,-0.05484,-0.23283,-0.13852,0.00736,0.02131,-0.38217,0.02386,-0.21064,-0.10054,-0.01044,0.00001,-0.00756,-0.20612,0.08866,-0.00213,0.02305,-0.02716,-0.01692,-0.24994,0.02191,0.0107,0.16516,-0.19896,-0.00997,-0.01994,-1.27958,-0.01473,0.01905,-0.01459,-0.3549,-0.64623,-0.27724,-0.78228,-0.03399,0.00013,0.00833,-0.12119,-0.00739,0.00685,-0.0077,-0.00376,0.00441,-0.08841,-0.02679,-0.15465,0.00703,-0.26528,-0.49259,-0.01394,-0.02363,-0.02083,-0.12359,0.00941,0.0062,-0.00956,-0.02016,-0.04025,-0.26994,-0.00951,-0.37038,-0.04488,0,0,,0.999857619,0.000142381,0.0003445681,-0.000344568,0,19,19,0.0003445681,0.9996554319,0,0
138,-0.06464,-0.01316,1.07108,-0.01178,0.00707,-0.01605,0.07986,0.0278,-0.3012,-0.15375,-0.01205,-0.00601,0.01236,-0.38016,-0.19796,-0.00805,0.0038,0.05967,-0.0148,-0.40317,0.00758,-0.03277,-0.28869,-0.35328,-0.00999,0.0068,-1.0553,-0.01828,0.00621,-0.00967,-0.44337,0.04106,-0.39488,-0.18281,-0.004,-0.02545,-0.01416,-0.14507,-0.00726,-0.01395,0.00156,-0.00794,0.00386,-0.12267,0.02956,-0.24909,0.00528,0.33768,0.20549,-0.00901,0.04985,0.00494,-0.09895,0.01391,0.00408,-0.01401,-0.02334,-0.04569,-0.22974,-0.01142,-0.30456,-0.00032,0,0,,0.9962826915,0.0037173085,0.0088585573,-0.008858557,0,5,5,0.0088585573,0.9911414427,0,0
155,-0.39855,0.1226,-0.46007,-0.18934,0.00609,-0.01602,0.01963,-0.14421,-1.13261,-0.2967,-0.01603,-0.06471,-0.04452,-0.86073,-0.57091,-0.06585,-0.07396,0.07453,-0.01796,-1.14487,-0.06922,0.02647,-0.34508,-0.86099,-0.01011,-0.02008,-0.5781,-0.00912,-0.06369,-0.00358,-0.48709,-0.04876,-1.2853,-0.22818,-0.03279,-0.13811,-0.08986,-0.13783,-0.00757,-0.06832,0.0014,-0.01049,0.00309,-0.1534,0.00437,-0.68912,-0.03196,-0.28135,1.75727,-0.00541,-0.02946,-0.02162,-0.1248,0.009,-0.14855,-0.00919,-0.01506,-0.04598,-0.19178,-0.00102,-0.51924,-0.00678,1,1,,0.0714990939,0.9285009061,-0.397363648,0.3973636483,1,1,1,0.6026363517,0.6026363517,1,1
164,0.18499,0.04875,-1.7799,-0.30615,0.00626,0.01421,-0.25254,-0.05372,0.73401,0.03752,-0.00919,0.05095,-0.01576,0.06755,-0.42474,0.04803,0.06513,-0.06893,-0.01474,0.80879,0.0541,0.00232,-0.02757,0.01052,-0.00992,-0.02549,1.10185,-0.0165,0.06364,-0.01367,-0.37491,-0.55489,0.89002,0.06188,-0.03428,-0.04681,0.07501,-0.09767,-0.00743,0.05887,-0.0279,-0.01838,0.01976,-0.23077,-0.04189,0.65479,0.06887,-0.72737,0.67498,-0.01302,-0.03377,-0.02436,-0.7697,0.01108,0.04128,-0.01124,-0.01644,0.03352,0.20117,-0.01052,-0.33829,-0.03923,0,0,,0.9996762839,0.0003237161,0.0009763156,-0.000976316,0,12,12,0.0009763156,0.9990236844,0,0
168,-0.07474,-0.11506,1.45746,0.45395,0.00862,-0.00724,-0.4309,0.11136,-0.35468,-0.14525,-0.01215,-0.00776,-0.0078,-0.20159,1.23325,-0.00977,0.00194,-0.0322,-0.01539,-0.41627,0.00572,-0.03166,0.38252,-0.1627,-0.00999,-0.00535,-0.29949,-0.0341,-0.00331,-0.02674,0.51379,-0.67964,-0.46062,-0.27312,-0.02867,0.04232,-0.01968,0.84185,-0.00737,-0.015,-0.02194,-0.01799,0.00391,0.54096,-0.02946,-0.23415,0.00467,1.87254,-0.9535,-0.02613,0.01516,-0.00729,-0.01303,0.00865,0.0029,-0.0088,-0.02284,-0.03924,0.1514,-0.01795,0.35753,-0.03082,0,0,,0.9999232277,0.0000767723,0.0003610675,-0.000361068,0,18,18,0.0003610675,0.9996389325,0,0
173,-0.30716,0.03339,-1.02469,-0.28811,0.01249,-0.01605,0.84576,-0.03117,-1.02167,-0.44628,-0.01421,-0.04804,-0.04456,-0.86014,-0.3812,-0.04944,-0.03221,-0.06725,-0.01664,-1.05687,-0.02849,-0.06548,-0.15754,-0.86553,-0.01038,-0.02267,-1.22215,-0.0203,-0.03576,-0.02627,0.41829,0.5457,-1.31971,0.54896,-0.03452,-0.03176,-0.06409,-0.11579,-0.00755,-0.04339,-0.03007,-0.02095,-0.00338,-0.23347,-0.04137,-0.61654,-0.00863,-0.82299,-0.50845,-0.02566,-0.03324,-0.02441,-0.13406,0.01019,-0.02495,-0.01024,-0.0177,0.01193,1.04282,-0.0181,0.39742,-0.03702,0,0,,0.9754831307,0.0245168693,0.0880540892,-0.088054089,0,1,1,0.0880540892,0.9119459108,0,0
180,-0.06065,0.09428,-0.00665,-0.16194,0.00584,-0.01605,-0.39375,-0.1083,-0.28681,-0.15711,-0.01223,-0.00418,0.09898,-0.49043,-0.52443,-0.00625,0.00983,0.13651,-0.01251,-0.29576,0.01142,-0.03635,-0.19391,-0.47881,-0.00654,0.00754,-0.03446,-0.00471,0.00505,0.01137,-0.59766,-0.25626,-0.30415,-0.63532,0.03258,-0.1253,-0.00069,-0.12569,-0.00698,-0.00247,0.02279,0.00213,0.00387,-0.19006,0.03377,-0.01904,0.02602,-0.0953,1.7697,0.01207,0.061,0.00923,-0.08206,0.00949,0.00856,-0.00959,-0.02327,-0.04676,-0.30379,0.00882,-0.59018,0.05396,0,0,,0.958693266,0.041306734,0.0186836365,-0.018683636,0,3,3,0.0186836365,0.9813163635,0,0
182,-0.08022,-0.05311,0.38194,-0.05594,0.00753,-0.01328,-0.40289,0.04896,-0.37229,-0.16393,-0.01193,-0.00871,0.0126,-0.38113,0.07284,-0.01071,0.00109,0.01395,-0.01555,-0.33115,0.00487,-0.04448,0.22752,-0.35431,-0.00998,-0.01558,0.26187,-0.01696,-0.00422,-0.01523,-0.33958,-0.6615,-0.36677,-0.618,-0.03219,0.00122,-0.00834,-0.13421,-0.00735,-0.00615,0.00165,-0.00049,0.00384,-0.05764,-0.01243,-0.17343,0.00713,0.18373,-0.23707,-0.01459,-0.00873,-0.01593,-0.00179,0.00909,0.00265,-0.00925,-0.02223,-0.04417,-0.29091,-0.00968,-0.36521,-0.03951,0,0,,0.9998324851,0.0001675149,0.0003325243,-0.000332524,0,19,19,0.0003325243,0.9996674757,0,0
184,0.02067,0.00215,0.2993,-0.10668,0.00757,0.05497,-0.38486,-0.01343,0.06951,-0.0707,-0.01212,0.01512,-0.0139,-0.02759,-0.26898,0.01275,0.00726,-0.06969,-0.01592,0.14162,0.00895,0.06686,0.07251,-0.04382,-0.00998,-0.01413,-0.52273,-0.02679,0.00232,-0.02822,0.95534,-0.60649,0.15446,3.59492,-0.03193,-0.0367,-0.00562,0.04813,-0.00742,-0.00403,-0.02842,-0.01881,0.00608,0.00639,-0.04241,-0.0506,0.01949,-0.00957,0.3523,-0.0276,-0.0082,-0.0145,-0.09371,0.00937,0.01392,-0.00952,-0.02074,0.04924,0.26644,-0.01923,0.81638,0.04363,0,0,,0.9999034234,0.0000965766,0.000266386,-0.000266386,0,20,20,0.000266386,0.999733614,0,0
